ID;Authors;Institution;Type of Institution;Country;Type of Study
SCP0066;﻿Mingsheng Ying;Chinese Academy of Sciences;Academy;China;Primary Study
SCP0066;﻿Mingsheng Ying;Tsinghua University;Academy;China;Primary Study
SCP0066;Nengkun Yu;University of Technology Sydney;Academy;Australia  ;Primary Study
SCP0066;Nengkun Yu;Chinese Academy of Sciences;Academy;China;Primary Study
SCP0066;Nengkun Yu;Tsinghua University;Academy;China;Primary Study
SCP0066;Runyao Duan;University of Technology Sydney;Academy;Australia  ;Primary Study
SCP0066;Runyao Duan;Chinese Academy of Sciences;Academy;China;Primary Study
SCP0066;Runyao Duan;Tsinghua University;Academy;China;Primary Study
SCP0066;Yuan Feng;University of Technology Sydney;Academy;Australia  ;Primary Study
SCP0066;Yuan Feng;Chinese Academy of Sciences;Academy;China;Primary Study
SCP0066;Yuan Feng;Tsinghua University;Academy;China;Primary Study
SCP0067;Felix Gemeinhardt  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0067;Manuel Wimmer  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0067;Martin Eisenberg  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0067;Stefan Klikovits  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0068;Damian S. Steiger  ;ETH Zurich  ;Academy;Switzerland  ;Primary Study
SCP0068;Krysta Svore  ;Microsoft Research;Industry;United States  ;Primary Study
SCP0068;Matthias Troyer  ;ETH Zurich  ;Academy;Switzerland  ;Primary Study
SCP0068;Matthias Troyer  ;Microsoft Research;Industry;United States  ;Primary Study
SCP0068;Matthias Troyer  ;Microsoft Research;Industry;United States  ;Primary Study
SCP0068;Thomas Häner  ;ETH Zurich  ;Academy;Switzerland  ;Primary Study
SCP0069;Daniel Fortunato  ;University of Porto;Academy;Portugal  ;Primary Study
SCP0069;José Campos  ;University of Lisbon;Academy;Portugal  ;Primary Study
SCP0069;José Campos  ;University of Porto;Academy;Portugal  ;Primary Study
SCP0069;Rui Abreu  ;University of Porto;Academy;Portugal  ;Primary Study
SCP0071;Carmelo R. Cartiere  ;Nextsense Srl  ;Industry;Italy  ;Primary Study
SCP0072;Felix Gemeinhardt  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0072;Manuel Wimmer  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0072;Stefan Klikovits  ;Johannes Kepler University Linz;Academy;Austria  ;Primary Study
SCP0073;Jose Luis Hevia Oliver  ;aQuantum;Industry;Spain;Primary Study
SCP0074;Paola Spoletini  ;Kennesaw State University  ;Academy;United States  ;Primary Study
SCP0076;Guido Petersen  ;aQuantum;Industry;Spain;Primary Study
SCP0076;Jose Luis Hevia  ;aQuantum;Industry;Spain;Primary Study
SCP0076;Manuel Serrano  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0076;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0076;Ricardo Perez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0081;J. Thangakumar  ;Hindustan Institute Of Technology And Sciences  ;Academy;India  ;Primary Study
SCP0081;Muthukumaran Malarvel  ;Hindustan Institute Of Technology And Sciences  ;Academy;India  ;Primary Study
SCP0081;Sathishkumar Nagarajan  ;Hindustan Institute Of Technology And Sciences  ;Academy;India  ;Primary Study
SCP0082;Andrea De Lucia  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0082;Dario Di Nucci  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0082;Fabio Palomba  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0082;Manuel De Stefano  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0084;Felix Greiwe  ;Technical University of Applied Sciences Regensburg  ;Academy;Germany  ;Primary Study
SCP0084;Tom Kruger  ;Technical University of Applied Sciences Regensburg  ;Academy;Germany  ;Primary Study
SCP0084;Wolfgang Mauerer  ;Siemens AG  ;Industry;Germany  ;Primary Study
SCP0084;Wolfgang Mauerer  ;Technical University of Applied Sciences Regensburg  ;Academy;Germany  ;Primary Study
SCP0086;Hoa T. Nguyen  ;University of Melbourne  ;Academy;Australia  ;Primary Study
SCP0086;Muhammad Usman  ;CSIRO;Government;Australia  ;Primary Study
SCP0086;Muhammad Usman  ;University of Melbourne  ;Academy;Australia  ;Primary Study
SCP0086;Rajkumar Buyya  ;University of Melbourne  ;Academy;Australia  ;Primary Study
SCP0088;Arif Ali Khan  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0088;Muhammad Azeem Akbar  ;Lappeenranta-Lahti University of Technology;Academy;Finland  ;Primary Study
SCP0088;Saima Rafi  ;﻿Edinburgh Napier University;Academy;United Kingdom  ;Primary Study
SCP0089;Andriy Miranskyy  ;Toronto Metropolitan University;Academy;Canada  ;Primary Study
SCP0089;Lei Zhang  ;University of Maryland;Academy;United States  ;Primary Study
SCP0089;Mahsa Radnejad  ;Islamic Azad University;Academy;Iran  ;Primary Study
SCP0091;Shaukat Ali  ;Simula Research Laboratory;Government;Norway  ;Primary Study
SCP0091;Tao Yue  ;Simula Research Laboratory;Government;Norway  ;Primary Study
SCP0092;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0092;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0093;Hassan Soubra  ;École Centrale d'électronique;Academy;France  ;Primary Study
SCP0094;Huaizhen Kou  ;Nanjing University of Science and Technology  ;Academy;China  ;Primary Study
SCP0094;Lianyong Qi  ;China University of Petroleum;Academy;China  ;Primary Study
SCP0094;Muhammad Bilal  ;Hankuk University of Foreign Studies  ;Academy;South Korea  ;Primary Study
SCP0094;Wenwen Gong  ;Tsinghua University;Academy;China  ;Primary Study
SCP0094;Xiaolong Xu  ;Nanjing University of Information Science and Technology  ;Academy;China  ;Primary Study
SCP0094;Xiaoyu Xia  ;RMIT University  ;Academy;Australia  ;Primary Study
SCP0094;Xudong Zhao  ;Nanjing University of Information Science and Technology  ;Academy;China  ;Primary Study
SCP0096;Dae-Kyoo Kim  ;Oakland University  ;Academy;United States  ;Primary Study
SCP0103;Andriy Miranskyy  ;Ryerson University;Academy;Canada  ;Primary Study
SCP0103;Lei Zhang  ;Ryerson University;Academy;Canada  ;Primary Study
SCP0104;Diego Alonso  ;Universidad Politécnica de Cartagena;Academy;Spain;Primary Study
SCP0104;Francisco Sánchez-Rubio  ;Universidad Politécnica de Cartagena;Academy;Spain;Primary Study
SCP0104;Pedro Sánchez  ;Universidad Politécnica de Cartagena;Academy;Spain;Primary Study
SCP0106;Mark Fingerhuth  ;ProteinQure Inc.  ;Industry;Canada  ;Primary Study
SCP0106;Mark Fingerhuth  ;University of KwaZulu-Natal  ;Academy;South Africa;Primary Study
SCP0106;Peter Wittek  ;Creative Destruction Lab  ;Nonprofit Organization;Canada  ;Primary Study
SCP0106;Peter Wittek  ;Perimeter Institute for Theoretical Physics;Academy;Canada  ;Primary Study
SCP0106;Peter Wittek  ;University of Toronto  ;Academy;Canada  ;Primary Study
SCP0106;Peter Wittek  ;Vector Institute for Artificial Intelligence  ;Nonprofit Organization;Canada  ;Primary Study
SCP0106;Tomáš Babej  ;ProteinQure Inc.  ;Industry;Canada  ;Primary Study
SCP0107;Arif Ali Khan  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0107;Boshuai Ye  ;Aalto University  ;Academy;Finland  ;Primary Study
SCP0107;Davide Falessi  ;University of Rome Tor Vergata;Academy;Italy  ;Primary Study
SCP0107;Davide Taibi  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0107;Maryam Tavassoli Sabzevari  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0107;Matteo Esposito  ;University of Rome Tor Vergata;Academy;Italy  ;Primary Study
SCP0108;Andrea De Lucia  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0108;Antonio Trovato  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0108;Dario Di Nucci  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0108;Fabiano Pecorelli  ;Pegaso Digital University  ;Academy;Italy  ;Primary Study
SCP0108;Fabiano Pecorelli  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0108;Manuel De Stefano  ;University of Salerno;Academy;Italy  ;Primary Study
SCP0111;Asmar Muqeet  ;University of Oslo;Academy;Norway  ;Primary Study
SCP0111;Paolo Arcaini  ;National Institute of Informatics;Academy;Japan  ;Primary Study
SCP0111;Shaukat Ali  ;Oslo Metropolitan University;Academy;Norway  ;Primary Study
SCP0111;Tao Yue  ;Simula Research Laboratory;Government;Norway  ;Primary Study
SCP0112;Byung-Soo Choi  ;Pukyong National University  ;Academy;South Korea  ;Primary Study
SCP0112;Duwon Lee  ;Pukyong National University  ;Academy;South Korea  ;Primary Study
SCP0112;Jaehyeok Lee  ;Pukyong National University  ;Academy;South Korea  ;Primary Study
SCP0112;Kanghyeon Kim  ;Pukyong National University  ;Academy;South Korea  ;Primary Study
SCP0112;Yong Kwon  ;Pukyong National University  ;Academy;South Korea  ;Primary Study
SCP0115;Andrea De Lucia;University of Salerno;Academy;Italy;Primary Study
SCP0115;Dario Di Nucci;University of Salerno;Academy;Italy;Primary Study
SCP0115;Fabiano Pecorelli;Tampere University;Academy;Finland;Primary Study
SCP0115;Fabio Palomba;University of Salerno;Academy;Italy;Primary Study
SCP0115;Manuel De Stefano;University of Salerno;Academy;Italy;Primary Study
SCP0116;Aakash Ahmad;Lancaster University Leipzig;Academy;Germany;Primary Study
SCP0116;Arif Ali Khan;University of Oulu;Academy;Finland;Primary Study
SCP0116;Mahdi Fahmideh;University of Southern Queensland;Academy;Australia;Primary Study
SCP0116;Mahmood Niazi;King Fahd University of Petroleum and Minerals;Academy;Saudi Arabia;Primary Study
SCP0116;Muhammad Waseem;Wuhan University;Academy;China;Primary Study
SCP0116;Tommi Mikkonen;University of Jyväskylä;Academy;Finland;Primary Study
SCP0116;Valtteri Lahtinen;Quanscient;Industry;Finland;Primary Study
SCP0121;André Souto;Instituto de Telecomunicações;Academy;Portugal;Primary Study
SCP0121;André Souto;Universidade de Lisboa;Academy;Portugal;Primary Study
SCP0121;José Campos;Universidade de Lisboa;Academy;Portugal;Primary Study
SCP0122;Aakash Ahmad;Lancaster University Leipzig;Academy;Germany;Primary Study
SCP0122;Amjed Tahir;Massey University;Academy;New Zealand;Primary Study
SCP0122;Beiqi Zhang;Wuhan University;Academy;China;Primary Study
SCP0122;Mst Shamima Aktar;Wuhan University;Academy;China;Primary Study
SCP0122;Muhammad Waseem;University of Jyväskylä;Academy;Finland;Primary Study
SCP0122;Peng Liang;Wuhan University;Academy;China;Primary Study
SCP0122;Zengyang Li;Central China Normal University;Academy;China;Primary Study
SCP0123;Enrique Moguel;Computing and Advanced Technologies Foundation of Extremadura;Nonprofit Organization;Spain;Primary Study
SCP0123;Jaime Alvarado-Valiente;University of Extremadura;Academy;Spain;Primary Study
SCP0123;Javier Romero-Alvarez;University of Extremadura;Academy;Spain;Primary Study
SCP0123;Jose Garcia-Alonso;University of Extremadura;Academy;Spain;Primary Study
SCP0123;Juan M. Murillo;Computing and Advanced Technologies Foundation of Extremadura;Nonprofit Organization;Spain;Primary Study
SCP0128;Diego Alonso;Universidad Politécnica de Cartagena;Academy;Spain;Primary Study
SCP0128;Pedro Sánchez;Universidad Politécnica de Cartagena;Academy;Spain;Primary Study
SCP0132;Anibrata Pal;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0132;Danilo Caivano;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0132;Vita Santa Barletta;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0134;Arif Ali Khan;University of Oulu;Academy;Finland;Primary Study
SCP0134;Mohammad Nadeem;Aligarh Muslim University;Academy;India;Primary Study
SCP0134;Mohammad Shameem;MIT World Peace University;Academy;India;Primary Study
SCP0134;Muhammad Azeem Akbar;Lappeenranta-Lahti University of Technology;Academy;Finland;Primary Study
SCP0136;Jianjun Zhao;Kyushu University;Academy;Japan;Primary Study
SCP0138;Manuel De Stefano;University of Salerno;Academy;Italy;Primary Study
SCP0142;Fuyuki Ishikawa;National Institute of Informatics;Academy;Japan;Primary Study
SCP0142;Shinobu Saito;NTT Computer and Data Science Laboratories;Academy;Japan;Primary Study
SCP0149;Andriy Miranskyy;Toronto Metropolitan University;Academy;Canada;Primary Study
SCP0149;Lei Zhang;University of Maryland;Academy;United States;Primary Study
SCP0156;Aniket S. Dalvi;Duke University;Academy;United States;Primary Study
SCP0156;Filip Mazurek;Duke University;Academy;United States;Primary Study
SCP0156;Frank Mueller;North Carolina State University;Academy;United States;Primary Study
SCP0156;Jacob Whitlow;Duke University;Academy;United States;Primary Study
SCP0156;Kaustubh Badrike;North Carolina State University;Academy;United States;Primary Study
SCP0156;Kenneth R. Brown;Duke University;Academy;United States;Primary Study
SCP0156;Leon Riesebos;Duke University;Academy;United States;Primary Study
SCP0156;Marissa D'Onofrio;Duke University;Academy;United States;Primary Study
